Fylkesnr. 2019,Fylkesnavn 2019,Kommunenr. 2019,Kommunenavn 2019,Fylkesnr. 2020,Fylkesnavn 2020,Kommunenr. 2020,Kommunenavn 2020
02,AKERSHUS,0219,BÆRUM,30,VIKEN,3024,BÆRUM
02,AKERSHUS,0220,ASKER,30,VIKEN,3025,ASKER
02,AKERSHUS,0221,AURSKOG-HØLAND,30,VIKEN,3026,AURSKOG-HØLAND
02,AKERSHUS,0226,SØRUM,30,VIKEN,3030,LILLESTRØM
02,AKERSHUS,0227,FET,30,VIKEN,3030,LILLESTRØM
02,AKERSHUS,0228,RÆLINGEN,30,VIKEN,3027,RÆLINGEN
02,AKERSHUS,0229,ENEBAKK,30,VIKEN,3028,ENEBAKK
02,AKERSHUS,0230,LØRENSKOG,30,VIKEN,3029,LØRENSKOG
02,AKERSHUS,0231,SKEDSMO,30,VIKEN,3030,LILLESTRØM
02,AKERSHUS,0233,NITTEDAL,30,VIKEN,3031,NITTEDAL
02,AKERSHUS,0234,GJERDRUM,30,VIKEN,3032,GJERDRUM
02,AKERSHUS,0235,ULLENSAKER,30,VIKEN,3033,ULLENSAKER
02,AKERSHUS,0236,NES (AKERSHUS),30,VIKEN,3034,NES
02,AKERSHUS,0237,EIDSVOLL,30,VIKEN,3035,EIDSVOLL
02,AKERSHUS,0238,NANNESTAD,30,VIKEN,3036,NANNESTAD
02,AKERSHUS,0239,HURDAL,30,VIKEN,3037,HURDAL
03,OSLO,0301,OSLO,03,OSLO,0301,OSLO
04,HEDMARK,0402,KONGSVINGER,34,INNLANDET,3401,KONGSVINGER
04,HEDMARK,0403,HAMAR,34,INNLANDET,3403,HAMAR
04,HEDMARK,0412,RINGSAKER,34,INNLANDET,3411,RINGSAKER
04,HEDMARK,0415,LØTEN,34,INNLANDET,3412,LØTEN
04,HEDMARK,0417,STANGE,34,INNLANDET,3413,STANGE
04,HEDMARK,0418,NORD-ODAL,34,INNLANDET,3414,NORD-ODAL
04,HEDMARK,0419,SØR-ODAL,34,INNLANDET,3415,SØR-ODAL
04,HEDMARK,0420,EIDSKOG,34,INNLANDET,3416,EIDSKOG
04,HEDMARK,0423,GRUE,34,INNLANDET,3417,GRUE
04,HEDMARK,0425,ÅSNES,34,INNLANDET,3418,ÅSNES
04,HEDMARK,0426,VÅLER (HEDM.),34,INNLANDET,3419,VÅLER (INNLANDET)
04,HEDMARK,0427,ELVERUM,34,INNLANDET,3420,ELVERUM
04,HEDMARK,0428,TRYSIL,34,INNLANDET,3421,TRYSIL
04,HEDMARK,0429,ÅMOT,34,INNLANDET,3422,ÅMOT
04,HEDMARK,0430,STOR-ELVDAL,34,INNLANDET,3423,STOR-ELVDAL
04,HEDMARK,0432,RENDALEN,34,INNLANDET,3424,RENDALEN
04,HEDMARK,0434,ENGERDAL,34,INNLANDET,3425,ENGERDAL
04,HEDMARK,0436,TOLGA,34,INNLANDET,3426,TOLGA
04,HEDMARK,0437,TYNSET,34,INNLANDET,3427,TYNSET
04,HEDMARK,0438,ALVDAL,34,INNLANDET,3428,ALVDAL
04,HEDMARK,0439,FOLLDAL,34,INNLANDET,3429,FOLLDAL
04,HEDMARK,0441,OS (HEDM.),34,INNLANDET,3430,OS (INNLANDET)
05,OPPLAND,0501,LILLEHAMMER,34,INNLANDET,3405,LILLEHAMMER
05,OPPLAND,0502,GJØVIK,34,INNLANDET,3407,GJØVIK
05,OPPLAND,0511,DOVRE,34,INNLANDET,3431,DOVRE
05,OPPLAND,0512,LESJA,34,INNLANDET,3432,LESJA
05,OPPLAND,0513,SKJÅK,34,INNLANDET,3433,SKJÅK
05,OPPLAND,0514,LOM,34,INNLANDET,3434,LOM
05,OPPLAND,0515,VÅGÅ,34,INNLANDET,3435,VÅGÅ
05,OPPLAND,0516,NORD-FRON,34,INNLANDET,3436,NORD-FRON
05,OPPLAND,0517,SEL,34,INNLANDET,3437,SEL
05,OPPLAND,0519,SØR-FRON,34,INNLANDET,3438,SØR-FRON
05,OPPLAND,0520,RINGEBU,34,INNLANDET,3439,RINGEBU
05,OPPLAND,0521,ØYER,34,INNLANDET,3440,ØYER
05,OPPLAND,0522,GAUSDAL,34,INNLANDET,3441,GAUSDAL
05,OPPLAND,0528,ØSTRE TOTEN,34,INNLANDET,3442,ØSTRE TOTEN
05,OPPLAND,0529,VESTRE TOTEN,34,INNLANDET,3443,VESTRE TOTEN
05,OPPLAND,0532,JEVNAKER,30,VIKEN,3053,JEVNAKER
05,OPPLAND,0533,LUNNER,30,VIKEN,3054,LUNNER
05,OPPLAND,0534,GRAN,34,INNLANDET,3446,GRAN
05,OPPLAND,0536,SØNDRE LAND,34,INNLANDET,3447,SØNDRE LAND
05,OPPLAND,0538,NORDRE LAND,34,INNLANDET,3448,NORDRE LAND
05,OPPLAND,0540,SØR-AURDAL,34,INNLANDET,3449,SØR-AURDAL
05,OPPLAND,0541,ETNEDAL,34,INNLANDET,3450,ETNEDAL
05,OPPLAND,0542,NORD-AURDAL,34,INNLANDET,3451,NORD-AURDAL
05,OPPLAND,0543,VESTRE SLIDRE,34,INNLANDET,3452,VESTRE SLIDRE
05,OPPLAND,0544,ØYSTRE SLIDRE,34,INNLANDET,3453,ØYSTRE SLIDRE
05,OPPLAND,0545,VANG,34,INNLANDET,3454,VANG
06,BUSKERUD,0602,DRAMMEN,30,VIKEN,3005,DRAMMEN
06,BUSKERUD,0604,KONGSBERG,30,VIKEN,3006,KONGSBERG
06,BUSKERUD,0605,RINGERIKE,30,VIKEN,3007,RINGERIKE
06,BUSKERUD,0612,HOLE,30,VIKEN,3038,HOLE
06,BUSKERUD,0615,FLÅ,30,VIKEN,3039,FLÅ
06,BUSKERUD,0616,NES (BUSK.),30,VIKEN,3040,NESBYEN
06,BUSKERUD,0617,GOL,30,VIKEN,3041,GOL
06,BUSKERUD,0618,HEMSEDAL,30,VIKEN,3042,HEMSEDAL
06,BUSKERUD,0619,ÅL,30,VIKEN,3043,ÅL
06,BUSKERUD,0620,HOL,30,VIKEN,3044,HOL
06,BUSKERUD,0621,SIGDAL,30,VIKEN,3045,SIGDAL
06,BUSKERUD,0622,KRØDSHERAD,30,VIKEN,3046,KRØDSHERAD
06,BUSKERUD,0623,MODUM,30,VIKEN,3047,MODUM
06,BUSKERUD,0624,ØVRE EIKER,30,VIKEN,3048,ØVRE EIKER
06,BUSKERUD,0625,NEDRE EIKER,30,VIKEN,3005,DRAMMEN
06,BUSKERUD,0626,LIER,30,VIKEN,3049,LIER
06,BUSKERUD,0627,RØYKEN,30,VIKEN,3025,ASKER
06,BUSKERUD,0628,HURUM,30,VIKEN,3025,ASKER
06,BUSKERUD,0631,FLESBERG,30,VIKEN,3050,FLESBERG
06,BUSKERUD,0632,ROLLAG,30,VIKEN,3051,ROLLAG
06,BUSKERUD,0633,NORE OG UVDAL,30,VIKEN,3052,NORE OG UVDAL
07,VESTFOLD,0701,HORTEN,38,VESTFOLD OG TELEMARK,3801,HORTEN
07,VESTFOLD,0704,TØNSBERG,38,VESTFOLD OG TELEMARK,3803,TØNSBERG
07,VESTFOLD,0710,SANDEFJORD,38,VESTFOLD OG TELEMARK,3804,SANDEFJORD
07,VESTFOLD,0711,SVELVIK,30,VIKEN,3005,DRAMMEN
07,VESTFOLD,0712,LARVIK,38,VESTFOLD OG TELEMARK,3805,LARVIK
07,VESTFOLD,0713,SANDE (VESTF.),38,VESTFOLD OG TELEMARK,3802,HOLMESTRAND
07,VESTFOLD,0715,HOLMESTRAND,38,VESTFOLD OG TELEMARK,3802,HOLMESTRAND
07,VESTFOLD,0716,RE,38,VESTFOLD OG TELEMARK,3803,TØNSBERG
07,VESTFOLD,0729,FÆRDER,38,VESTFOLD OG TELEMARK,3811,FÆRDER
08,TELEMARK,0805,PORSGRUNN,38,VESTFOLD OG TELEMARK,3806,PORSGRUNN
08,TELEMARK,0806,SKIEN,38,VESTFOLD OG TELEMARK,3807,SKIEN
08,TELEMARK,0807,NOTODDEN,38,VESTFOLD OG TELEMARK,3808,NOTODDEN
08,TELEMARK,0811,SILJAN,38,VESTFOLD OG TELEMARK,3812,SILJAN
08,TELEMARK,0814,BAMBLE,38,VESTFOLD OG TELEMARK,3813,BAMBLE
08,TELEMARK,0815,KRAGERØ,38,VESTFOLD OG TELEMARK,3814,KRAGERØ
08,TELEMARK,0817,DRANGEDAL,38,VESTFOLD OG TELEMARK,3815,DRANGEDAL
08,TELEMARK,0819,NOME,38,VESTFOLD OG TELEMARK,3816,NOME
08,TELEMARK,0821,BØ (TELEM.),38,VESTFOLD OG TELEMARK,3817,MIDT-TELEMARK
08,TELEMARK,0822,SAUHERAD,38,VESTFOLD OG TELEMARK,3817,MIDT-TELEMARK
08,TELEMARK,0826,TINN,38,VESTFOLD OG TELEMARK,3818,TINN
08,TELEMARK,0827,HJARTDAL,38,VESTFOLD OG TELEMARK,3819,HJARTDAL
08,TELEMARK,0828,SELJORD,38,VESTFOLD OG TELEMARK,3820,SELJORD
08,TELEMARK,0829,KVITESEID,38,VESTFOLD OG TELEMARK,3821,KVITESEID
08,TELEMARK,0830,NISSEDAL,38,VESTFOLD OG TELEMARK,3822,NISSEDAL
08,TELEMARK,0831,FYRESDAL,38,VESTFOLD OG TELEMARK,3823,FYRESDAL
08,TELEMARK,0833,TOKKE,38,VESTFOLD OG TELEMARK,3824,TOKKE
08,TELEMARK,0834,VINJE,38,VESTFOLD OG TELEMARK,3825,VINJE
09,AUST-AGDER,0901,RISØR,42,AGDER,4201,RISØR
09,AUST-AGDER,0904,GRIMSTAD,42,AGDER,4202,GRIMSTAD
09,AUST-AGDER,0906,ARENDAL,42,AGDER,4203,ARENDAL
09,AUST-AGDER,0911,GJERSTAD,42,AGDER,4211,GJERSTAD
09,AUST-AGDER,0912,VEGÅRSHEI,42,AGDER,4212,VEGÅRSHEI
09,AUST-AGDER,0914,TVEDESTRAND,42,AGDER,4213,TVEDESTRAND
09,AUST-AGDER,0919,FROLAND,42,AGDER,4214,FROLAND
09,AUST-AGDER,0926,LILLESAND,42,AGDER,4215,LILLESAND
09,AUST-AGDER,0928,BIRKENES,42,AGDER,4216,BIRKENES
09,AUST-AGDER,0929,ÅMLI,42,AGDER,4217,ÅMLI
09,AUST-AGDER,0935,IVELAND,42,AGDER,4218,IVELAND
09,AUST-AGDER,0937,EVJE OG HORNNES,42,AGDER,4219,EVJE OG HORNNES
09,AUST-AGDER,0938,BYGLAND,42,AGDER,4220,BYGLAND
09,AUST-AGDER,0940,VALLE,42,AGDER,4221,VALLE
09,AUST-AGDER,0941,BYKLE,42,AGDER,4222,BYKLE
10,VEST-AGDER,1001,KRISTIANSAND,42,AGDER,4204,KRISTIANSAND
10,VEST-AGDER,1002,MANDAL,42,AGDER,4205,LINDESNES
10,VEST-AGDER,1003,FARSUND,42,AGDER,4206,FARSUND
10,VEST-AGDER,1004,FLEKKEFJORD,42,AGDER,4207,FLEKKEFJORD
10,VEST-AGDER,1014,VENNESLA,42,AGDER,4223,VENNESLA
10,VEST-AGDER,1017,SONGDALEN,42,AGDER,4204,KRISTIANSAND
10,VEST-AGDER,1018,SØGNE,42,AGDER,4204,KRISTIANSAND
10,VEST-AGDER,1021,MARNARDAL,42,AGDER,4205,LINDESNES
10,VEST-AGDER,1026,ÅSERAL,42,AGDER,4224,ÅSERAL
10,VEST-AGDER,1027,AUDNEDAL,42,AGDER,4225,LYNGDAL
10,VEST-AGDER,1029,LINDESNES,42,AGDER,4205,LINDESNES
10,VEST-AGDER,1032,LYNGDAL,42,AGDER,4225,LYNGDAL
10,VEST-AGDER,1034,HÆGEBOSTAD,42,AGDER,4226,HÆGEBOSTAD
10,VEST-AGDER,1037,KVINESDAL,42,AGDER,4227,KVINESDAL
10,VEST-AGDER,1046,SIRDAL,42,AGDER,4228,SIRDAL
11,ROGALAND,1101,EIGERSUND,11,ROGALAND,1101,EIGERSUND
11,ROGALAND,1102,SANDNES,11,ROGALAND,1108,SANDNES
11,ROGALAND,1103,STAVANGER,11,ROGALAND,1103,STAVANGER
11,ROGALAND,1106,HAUGESUND,11,ROGALAND,1106,HAUGESUND
11,ROGALAND,1111,SOKNDAL,11,ROGALAND,1111,SOKNDAL
11,ROGALAND,1112,LUND,11,ROGALAND,1112,LUND
11,ROGALAND,1114,BJERKREIM,11,ROGALAND,1114,BJERKREIM
11,ROGALAND,1119,HÅ,11,ROGALAND,1119,HÅ
11,ROGALAND,1120,KLEPP,11,ROGALAND,1120,KLEPP
11,ROGALAND,1121,TIME,11,ROGALAND,1121,TIME
11,ROGALAND,1122,GJESDAL,11,ROGALAND,1122,GJESDAL
11,ROGALAND,1124,SOLA,11,ROGALAND,1124,SOLA
11,ROGALAND,1127,RANDABERG,11,ROGALAND,1127,RANDABERG
11,ROGALAND,1129,FORSAND,11,ROGALAND,1108,SANDNES
11,ROGALAND,1130,STRAND,11,ROGALAND,1130,STRAND
11,ROGALAND,1133,HJELMELAND,11,ROGALAND,1133,HJELMELAND
11,ROGALAND,1134,SULDAL,11,ROGALAND,1134,SULDAL
11,ROGALAND,1135,SAUDA,11,ROGALAND,1135,SAUDA
11,ROGALAND,1141,FINNØY,11,ROGALAND,1103,STAVANGER
11,ROGALAND,1142,RENNESØY,11,ROGALAND,1103,STAVANGER
11,ROGALAND,1144,KVITSØY,11,ROGALAND,1144,KVITSØY
11,ROGALAND,1145,BOKN,11,ROGALAND,1145,BOKN
11,ROGALAND,1146,TYSVÆR,11,ROGALAND,1146,TYSVÆR
11,ROGALAND,1149,KARMØY,11,ROGALAND,1149,KARMØY
11,ROGALAND,1151,UTSIRA,11,ROGALAND,1151,UTSIRA
11,ROGALAND,1160,VINDAFJORD,11,ROGALAND,1160,VINDAFJORD
12,HORDALAND,1201,BERGEN,46,VESTLAND,4601,BERGEN
12,HORDALAND,1211,ETNE,46,VESTLAND,4611,ETNE
12,HORDALAND,1216,SVEIO,46,VESTLAND,4612,SVEIO
12,HORDALAND,1219,BØMLO,46,VESTLAND,4613,BØMLO
12,HORDALAND,1221,STORD,46,VESTLAND,4614,STORD
12,HORDALAND,1222,FITJAR,46,VESTLAND,4615,FITJAR
12,HORDALAND,1223,TYSNES,46,VESTLAND,4616,TYSNES
12,HORDALAND,1224,KVINNHERAD,46,VESTLAND,4617,KVINNHERAD
12,HORDALAND,1227,JONDAL,46,VESTLAND,4618,ULLENSVANG
12,HORDALAND,1228,ODDA,46,VESTLAND,4618,ULLENSVANG
12,HORDALAND,1231,ULLENSVANG,46,VESTLAND,4618,ULLENSVANG
12,HORDALAND,1232,EIDFJORD,46,VESTLAND,4619,EIDFJORD
12,HORDALAND,1233,ULVIK,46,VESTLAND,4620,ULVIK
12,HORDALAND,1234,GRANVIN,46,VESTLAND,4621,VOSS
12,HORDALAND,1235,VOSS,46,VESTLAND,4621,VOSS
12,HORDALAND,1238,KVAM,46,VESTLAND,4622,KVAM
12,HORDALAND,1241,FUSA,46,VESTLAND,4624,BJØRNAFJORDEN
12,HORDALAND,1242,SAMNANGER,46,VESTLAND,4623,SAMNANGER
12,HORDALAND,1243,OS (HORDALAND),46,VESTLAND,4624,BJØRNAFJORDEN
12,HORDALAND,1244,AUSTEVOLL,46,VESTLAND,4625,AUSTEVOLL
12,HORDALAND,1245,SUND,46,VESTLAND,4626,ØYGARDEN
12,HORDALAND,1246,FJELL,46,VESTLAND,4626,ØYGARDEN
12,HORDALAND,1247,ASKØY,46,VESTLAND,4627,ASKØY
12,HORDALAND,1251,VAKSDAL,46,VESTLAND,4628,VAKSDAL
12,HORDALAND,1252,MODALEN,46,VESTLAND,4629,MODALEN
12,HORDALAND,1253,OSTERØY,46,VESTLAND,4630,OSTERØY
12,HORDALAND,1256,MELAND,46,VESTLAND,4631,ALVER
12,HORDALAND,1259,ØYGARDEN,46,VESTLAND,4626,ØYGARDEN
12,HORDALAND,1260,RADØY,46,VESTLAND,4631,ALVER
12,HORDALAND,1263,LINDÅS,46,VESTLAND,4631,ALVER
12,HORDALAND,1264,AUSTRHEIM,46,VESTLAND,4632,AUSTRHEIM
12,HORDALAND,1265,FEDJE,46,VESTLAND,4633,FEDJE
12,HORDALAND,1266,MASFJORDEN,46,VESTLAND,4634,MASFJORDEN
14,SOGN OG FJORDANE,1401,FLORA,46,VESTLAND,4602,KINN
14,SOGN OG FJORDANE,1411,GULEN,46,VESTLAND,4635,GULEN
14,SOGN OG FJORDANE,1412,SOLUND,46,VESTLAND,4636,SOLUND
14,SOGN OG FJORDANE,1413,HYLLESTAD,46,VESTLAND,4637,HYLLESTAD
14,SOGN OG FJORDANE,1416,HØYANGER,46,VESTLAND,4638,HØYANGER
14,SOGN OG FJORDANE,1417,VIK,46,VESTLAND,4639,VIK
14,SOGN OG FJORDANE,1418,BALESTRAND,46,VESTLAND,4640,SOGNDAL
14,SOGN OG FJORDANE,1419,LEIKANGER,46,VESTLAND,4640,SOGNDAL
14,SOGN OG FJORDANE,1420,SOGNDAL,46,VESTLAND,4640,SOGNDAL
14,SOGN OG FJORDANE,1421,AURLAND,46,VESTLAND,4641,AURLAND
14,SOGN OG FJORDANE,1422,LÆRDAL,46,VESTLAND,4642,LÆRDAL
14,SOGN OG FJORDANE,1424,ÅRDAL,46,VESTLAND,4643,ÅRDAL
14,SOGN OG FJORDANE,1426,LUSTER,46,VESTLAND,4644,LUSTER
14,SOGN OG FJORDANE,1428,ASKVOLL,46,VESTLAND,4645,ASKVOLL
14,SOGN OG FJORDANE,1429,FJALER,46,VESTLAND,4646,FJALER
14,SOGN OG FJORDANE,1430,GAULAR,46,VESTLAND,4647,SUNNFJORD
14,SOGN OG FJORDANE,1431,JØLSTER,46,VESTLAND,4647,SUNNFJORD
14,SOGN OG FJORDANE,1432,FØRDE,46,VESTLAND,4647,SUNNFJORD
14,SOGN OG FJORDANE,1433,NAUSTDAL,46,VESTLAND,4647,SUNNFJORD
14,SOGN OG FJORDANE,1438,BREMANGER,46,VESTLAND,4648,BREMANGER
14,SOGN OG FJORDANE,1439,VÅGSØY,46,VESTLAND,4602,KINN
14,SOGN OG FJORDANE,1441,SELJE,46,VESTLAND,4649,STAD
14,SOGN OG FJORDANE,1443,EID,46,VESTLAND,4649,STAD
14,SOGN OG FJORDANE,1444,HORNINDAL,15,MØRE OG ROMSDAL,1577,VOLDA
14,SOGN OG FJORDANE,1445,GLOPPEN,46,VESTLAND,4650,GLOPPEN
14,SOGN OG FJORDANE,1449,STRYN,46,VESTLAND,4651,STRYN
15,MØRE OG ROMSDAL,1502,MOLDE,15,MØRE OG ROMSDAL,1506,MOLDE
15,MØRE OG ROMSDAL,1504,ÅLESUND,15,MØRE OG ROMSDAL,1507,ÅLESUND
15,MØRE OG ROMSDAL,1505,KRISTIANSUND,15,MØRE OG ROMSDAL,1505,KRISTIANSUND
15,MØRE OG ROMSDAL,1511,VANYLVEN,15,MØRE OG ROMSDAL,1511,VANYLVEN
15,MØRE OG ROMSDAL,1514,SANDE,15,MØRE OG ROMSDAL,1514,SANDE
15,MØRE OG ROMSDAL,1515,HERØY,15,MØRE OG ROMSDAL,1515,HERØY
15,MØRE OG ROMSDAL,1516,ULSTEIN,15,MØRE OG ROMSDAL,1516,ULSTEIN
15,MØRE OG ROMSDAL,1517,HAREID,15,MØRE OG ROMSDAL,1517,HAREID
15,MØRE OG ROMSDAL,1519,VOLDA,15,MØRE OG ROMSDAL,1577,VOLDA
15,MØRE OG ROMSDAL,1520,ØRSTA,15,MØRE OG ROMSDAL,1520,ØRSTA
15,MØRE OG ROMSDAL,1523,ØRSKOG,15,MØRE OG ROMSDAL,1507,ÅLESUND
15,MØRE OG ROMSDAL,1524,NORDDAL,15,MØRE OG ROMSDAL,1578,FJORD
15,MØRE OG ROMSDAL,1525,STRANDA,15,MØRE OG ROMSDAL,1525,STRANDA
15,MØRE OG ROMSDAL,1526,STORDAL,15,MØRE OG ROMSDAL,1578,FJORD
15,MØRE OG ROMSDAL,1528,SYKKYLVEN,15,MØRE OG ROMSDAL,1528,SYKKYLVEN
15,MØRE OG ROMSDAL,1529,SKODJE,15,MØRE OG ROMSDAL,1507,ÅLESUND
15,MØRE OG ROMSDAL,1531,SULA,15,MØRE OG ROMSDAL,1531,SULA
15,MØRE OG ROMSDAL,1532,GISKE,15,MØRE OG ROMSDAL,1532,GISKE
15,MØRE OG ROMSDAL,1534,HARAM,15,MØRE OG ROMSDAL,1507,ÅLESUND
15,MØRE OG ROMSDAL,1535,VESTNES,15,MØRE OG ROMSDAL,1535,VESTNES
15,MØRE OG ROMSDAL,1539,RAUMA,15,MØRE OG ROMSDAL,1539,RAUMA
15,MØRE OG ROMSDAL,1543,NESSET,15,MØRE OG ROMSDAL,1506,MOLDE
15,MØRE OG ROMSDAL,1545,MIDSUND,15,MØRE OG ROMSDAL,1506,MOLDE
15,MØRE OG ROMSDAL,1546,SANDØY,15,MØRE OG ROMSDAL,1507,ÅLESUND
15,MØRE OG ROMSDAL,1547,AUKRA,15,MØRE OG ROMSDAL,1547,AUKRA
15,MØRE OG ROMSDAL,1548,FRÆNA,15,MØRE OG ROMSDAL,1579,HUSTADVIKA
15,MØRE OG ROMSDAL,1551,EIDE,15,MØRE OG ROMSDAL,1579,HUSTADVIKA
15,MØRE OG ROMSDAL,1554,AVERØY,15,MØRE OG ROMSDAL,1554,AVERØY
15,MØRE OG ROMSDAL,1557,GJEMNES,15,MØRE OG ROMSDAL,1557,GJEMNES
15,MØRE OG ROMSDAL,1560,TINGVOLL,15,MØRE OG ROMSDAL,1560,TINGVOLL
15,MØRE OG ROMSDAL,1563,SUNNDAL,15,MØRE OG ROMSDAL,1563,SUNNDAL
15,MØRE OG ROMSDAL,1566,SURNADAL,15,MØRE OG ROMSDAL,1566,SURNADAL
15,MØRE OG ROMSDAL,1571,HALSA,50,TRØNDELAG,5055,HEIM
15,MØRE OG ROMSDAL,1573,SMØLA,15,MØRE OG ROMSDAL,1573,SMØLA
15,MØRE OG ROMSDAL,1576,AURE,15,MØRE OG ROMSDAL,1576,AURE
18,NORDLAND,1804,BODØ,18,NORDLAND,1804,BODØ
18,NORDLAND,1805,NARVIK,18,NORDLAND,1806,NARVIK
18,NORDLAND,1811,BINDAL,18,NORDLAND,1811,BINDAL
18,NORDLAND,1812,SØMNA,18,NORDLAND,1812,SØMNA
18,NORDLAND,1813,BRØNNØY,18,NORDLAND,1813,BRØNNØY
18,NORDLAND,1815,VEGA,18,NORDLAND,1815,VEGA
18,NORDLAND,1816,VEVELSTAD,18,NORDLAND,1816,VEVELSTAD
18,NORDLAND,1818,HERØY,18,NORDLAND,1818,HERØY
18,NORDLAND,1820,ALSTAHAUG,18,NORDLAND,1820,ALSTAHAUG
18,NORDLAND,1822,LEIRFJORD,18,NORDLAND,1822,LEIRFJORD
18,NORDLAND,1824,VEFSN,18,NORDLAND,1824,VEFSN
18,NORDLAND,1825,GRANE,18,NORDLAND,1825,GRANE
18,NORDLAND,1826,HATTFJELLDAL,18,NORDLAND,1826,HATTFJELLDAL
18,NORDLAND,1827,DØNNA,18,NORDLAND,1827,DØNNA
18,NORDLAND,1828,NESNA,18,NORDLAND,1828,NESNA
18,NORDLAND,1832,HEMNES,18,NORDLAND,1832,HEMNES
18,NORDLAND,1833,RANA,18,NORDLAND,1833,RANA
18,NORDLAND,1834,LURØY,18,NORDLAND,1834,LURØY
18,NORDLAND,1835,TRÆNA,18,NORDLAND,1835,TRÆNA
18,NORDLAND,1836,RØDØY,18,NORDLAND,1836,RØDØY
18,NORDLAND,1837,MELØY,18,NORDLAND,1837,MELØY
18,NORDLAND,1838,GILDESKÅL,18,NORDLAND,1838,GILDESKÅL
18,NORDLAND,1839,BEIARN,18,NORDLAND,1839,BEIARN
18,NORDLAND,1840,SALTDAL,18,NORDLAND,1840,SALTDAL
18,NORDLAND,1841,FAUSKE,18,NORDLAND,1841,FAUSKE
18,NORDLAND,1845,SØRFOLD,18,NORDLAND,1845,SØRFOLD
18,NORDLAND,1848,STEIGEN,18,NORDLAND,1848,STEIGEN
18,NORDLAND,1849,HAMARØY,18,NORDLAND,1875,HAMARØY
18,NORDLAND,1850,TYSFJORD (DELES),18,NORDLAND,1806,NARVIK
18,NORDLAND,1850,TYSFJORD (DELES),18,NORDLAND,1875,HAMARØY
18,NORDLAND,1851,LØDINGEN,18,NORDLAND,1851,LØDINGEN
18,NORDLAND,1852,TJELDSUND,54,TROMS OG FINNMARK,5412,TJELDSUND
18,NORDLAND,1853,EVENES,18,NORDLAND,1853,EVENES
18,NORDLAND,1854,BALLANGEN,18,NORDLAND,1806,NARVIK
18,NORDLAND,1856,RØST,18,NORDLAND,1856,RØST
18,NORDLAND,1857,VÆRØY,18,NORDLAND,1857,VÆRØY
18,NORDLAND,1859,FLAKSTAD,18,NORDLAND,1859,FLAKSTAD
18,NORDLAND,1860,VESTVÅGØY,18,NORDLAND,1860,VESTVÅGØY
18,NORDLAND,1865,VÅGAN,18,NORDLAND,1865,VÅGAN
18,NORDLAND,1866,HADSEL,18,NORDLAND,1866,HADSEL
18,NORDLAND,1867,BØ,18,NORDLAND,1867,BØ
18,NORDLAND,1868,ØKSNES,18,NORDLAND,1868,ØKSNES
18,NORDLAND,1870,SORTLAND,18,NORDLAND,1870,SORTLAND
18,NORDLAND,1871,ANDØY,18,NORDLAND,1871,ANDØY
18,NORDLAND,1874,MOSKENES,18,NORDLAND,1874,MOSKENES
19,TROMS,1902,TROMSØ,54,TROMS OG FINNMARK,5401,TROMSØ
19,TROMS,1903,HARSTAD,54,TROMS OG FINNMARK,5402,HARSTAD
19,TROMS,1911,KVÆFJORD,54,TROMS OG FINNMARK,5411,KVÆFJORD
